Study_Hours,Attendance,Previous_Score,Assignments_Score,Gender,Parent_Education,Final_Marks
6.61,,,,Female,Bachelors,65.9
5.19,82.5,87.1,80.7,Male,Masters,81.7
0.97,70.8,85.7,87.2,Male,High School,61.6
5.15,79.0,55.6,68.6,Male,Bachelors,70.5
3.73,76.1,70.9,67.1,Male,Bachelors,75.2
3.15,92.0,72.4,57.7,Male,Bachelors,65.3
5.72,81.1,68.9,58.4,Male,High School,83.1
6.56,82.1,56.7,66.8,Male,High School,78.1
6.36,73.1,54.9,75.1,Female,Masters,79.7
2.82,72.1,64.6,82.8,Male,High School,64.2
3.88,72.8,82.6,58.8,Male,Bachelors,75.8
5.16,82.7,73.2,90.9,Male,High School,75.7
6.45,72.9,59.4,66.2,Male,High School,78.2
3.54,81.5,76.6,69.7,Male,High School,74.2
4.13,100.0,22.3,59.5,Male,High School,64.4
2.29,88.5,82.2,36.1,Male,Masters,57.8
2.11,74.1,38.9,82.4,Male,High School,53.5
6.13,92.4,59.6,80.3,Female,PhD,84.6
7.21,73.1,48.2,66.1,Male,Bachelors,66.0
4.36,,45.6,70.9,Male,Bachelors,61.4
6.51,,,,Male,Bachelors,72.5
5.22,55.6,58.0,48.1,Male,Bachelors,64.7
3.21,73.8,70.2,62.6,Female,Masters,59.0
5.22,78.2,64.3,81.1,Female,High School,79.4
7.58,98.1,72.2,52.4,Female,Bachelors,87.2
4.43,81.9,66.2,74.1,Female,Masters,69.5
7.63,75.4,45.8,51.0,Female,PhD,72.4
0.0,88.0,79.9,76.5,Female,Masters,69.3
6.14,51.5,57.6,69.5,Female,Bachelors,63.0
4.67,80.8,41.7,47.4,Female,Masters,54.0
3.9,87.3,58.6,86.3,Female,Bachelors,62.7
4.68,60.3,87.5,59.7,Female,Bachelors,73.3
0.52,91.7,77.8,58.7,Female,High School,55.8
4.06,82.1,59.8,72.8,Female,Bachelors,71.1
5.21,73.0,59.8,86.1,Female,High School,72.9
7.46,85.6,60.2,55.8,Female,High School,80.9
3.46,100.0,96.2,70.9,Female,Masters,82.4
2.88,80.2,70.7,76.0,Female,High School,68.8
3.5,81.0,71.5,79.7,Male,High School,78.2
6.33,72.5,80.5,72.5,Female,High School,82.3
5.16,67.8,68.6,64.9,Male,PhD,72.1
3.44,88.0,61.1,58.4,Female,Bachelors,70.0
5.53,67.7,62.1,71.2,Female,Bachelors,61.6
4.69,,,,Male,Masters,72.7
6.44,72.3,64.4,29.1,Female,Masters,68.5
3.1,83.7,75.9,76.1,Male,High School,67.8
3.84,82.0,65.8,82.7,Male,Bachelors,72.7
3.72,90.5,76.0,36.9,Male,Masters,67.5
1.57,71.9,63.8,55.9,Female,Bachelors,56.8
5.09,74.8,66.2,78.7,Female,High School,76.7
5.02,66.3,35.0,98.8,Female,Masters,76.4
4.51,72.7,78.7,70.3,Male,Bachelors,80.7
4.03,82.5,70.2,59.8,Male,High School,62.5
1.67,87.1,80.0,67.4,Female,Bachelors,73.6
3.66,66.9,21.6,89.2,Female,High School,65.7
3.81,88.4,96.3,61.0,Female,High School,81.9
2.9,94.3,62.9,58.8,Female,Masters,74.6
4.18,83.0,81.6,63.2,Female,High School,87.3
5.31,100.0,49.4,56.7,Male,Bachelors,78.0
8.27,68.7,74.2,71.7,Male,Bachelors,84.1
4.85,63.1,49.2,92.7,Male,High School,75.5
5.02,56.7,55.6,74.5,Female,PhD,66.1
4.35,96.0,93.7,66.5,Male,High School,83.9
0.66,85.9,62.1,65.9,Male,High School,58.9
4.45,77.3,68.3,48.1,Male,High School,76.0
4.62,81.4,78.1,82.4,Male,High School,74.8
9.43,64.5,72.4,68.9,Male,High School,92.6
4.12,100.0,67.3,67.5,Female,Masters,79.6
5.1,79.6,70.5,100.0,Male,PhD,74.3
4.43,79.3,100.0,74.2,Female,High School,85.4
2.16,86.7,64.1,59.5,Female,Bachelors,51.8
6.79,83.8,68.0,64.0,Female,Masters,82.6
6.0,,80.8,86.1,Female,Masters,90.5
6.08,68.5,81.6,71.6,Female,Bachelors,75.0
2.68,83.7,82.8,49.9,Male,High School,69.0
7.31,100.0,74.6,82.9,Male,High School,100.0
1.7,94.1,47.9,60.6,Female,Masters,57.6
5.67,97.1,89.5,96.2,Female,Masters,87.6
8.88,71.9,47.8,85.1,Female,High School,89.5
2.52,66.1,69.5,63.7,Male,Bachelors,74.1
3.37,76.5,53.7,87.9,Female,Masters,69.0
4.7,78.7,64.0,70.9,Male,Masters,78.2
3.49,91.1,69.9,81.9,Female,PhD,84.8
1.4,57.7,69.8,76.8,Male,Masters,55.8
4.64,96.4,71.3,58.2,Female,Bachelors,73.0
2.38,76.1,89.2,61.0,Male,Bachelors,77.4
5.45,72.9,71.8,84.4,Female,Bachelors,88.4
2.66,65.9,61.3,65.3,Male,High School,64.0
7.6,58.1,79.5,64.3,Male,Bachelors,72.2
2.93,87.9,82.8,56.6,Male,Masters,83.8
3.86,78.9,46.6,75.9,Male,High School,62.7
6.13,62.5,74.0,98.9,Male,Masters,79.6
2.04,62.5,75.5,55.1,Male,Bachelors,61.7
4.95,74.0,60.5,70.3,Male,PhD,79.7
7.11,98.0,85.6,89.8,Female,High School,100.0
1.29,74.9,62.7,68.9,Female,High School,63.1
4.87,60.0,66.9,76.3,Female,Bachelors,72.4
5.02,75.1,62.4,55.1,Female,High School,67.8
6.06,74.7,65.2,76.0,Female,Masters,79.8
2.03,45.6,48.6,67.4,Male,Masters,34.7
1.86,77.3,43.4,83.8,Male,High School,59.1
5.54,75.2,88.9,86.6,Male,Bachelors,86.4
5.09,86.4,52.3,100.0,Male,Bachelors,72.2
5.0,100.0,50.1,78.1,Male,Bachelors,78.9
5.19,91.5,32.7,74.6,Female,PhD,67.4
3.14,74.8,55.4,72.7,Female,Masters,75.1
4.96,64.7,45.2,65.1,Female,Bachelors,71.3
5.09,100.0,89.6,74.7,Female,Masters,85.0
3.07,78.7,80.1,65.9,Male,Bachelors,70.2
8.23,78.2,54.7,72.4,Male,PhD,79.0
5.45,77.7,98.8,88.4,Male,Bachelors,86.0
2.12,80.4,79.7,55.9,Female,Masters,67.5
5.81,76.3,60.1,86.0,Male,Masters,72.6
2.55,71.1,27.5,88.4,Female,High School,50.6
6.07,71.4,99.4,68.3,Male,Masters,87.6
6.82,77.6,44.2,40.3,Male,High School,67.9
2.86,71.5,40.3,61.5,Female,High School,50.7
6.43,69.4,80.3,88.2,Male,High School,89.0
5.33,79.3,100.0,69.7,Male,PhD,80.7
6.14,74.9,85.8,56.0,Female,Masters,79.4
8.29,96.0,73.5,62.9,Male,Masters,92.8
4.01,,73.9,81.8,Female,Masters,66.6
2.99,91.1,77.8,77.7,Male,Bachelors,79.4
2.72,93.0,76.4,66.7,Male,PhD,70.1
2.87,53.1,69.2,64.9,Male,Bachelors,58.7
4.35,73.9,66.6,64.5,Male,Bachelors,67.7
5.18,73.5,64.1,57.1,Male,High School,64.1
5.05,61.1,53.7,92.6,Male,Masters,69.5
6.15,68.7,60.8,65.5,Male,Masters,61.8
4.53,64.7,39.6,87.0,Male,Bachelors,61.5
7.41,99.0,63.5,91.3,Female,High School,88.6
3.97,89.2,50.2,84.0,Female,Masters,70.6
9.94,93.3,48.4,64.0,Male,High School,83.0
5.75,86.7,67.7,75.7,Male,Masters,79.2
2.79,64.5,85.9,69.7,Female,PhD,71.9
2.36,71.7,78.8,57.3,Male,Bachelors,69.9
5.46,83.9,41.4,74.5,Male,High School,66.0
4.05,63.3,50.2,53.5,Female,Masters,50.3
5.93,86.6,79.1,86.6,Male,Masters,80.0
5.45,75.1,50.3,63.5,Male,Bachelors,64.3
4.35,73.5,61.6,72.8,Female,PhD,67.4
2.81,86.5,73.3,74.0,Male,High School,67.9
1.47,83.3,50.5,66.4,Male,Bachelors,51.4
3.61,73.7,66.6,78.2,Female,Masters,67.5
6.21,91.9,45.0,63.4,Male,Masters,73.6
4.93,65.0,56.0,82.2,Female,High School,72.9
2.01,85.4,69.8,51.2,Male,Masters,59.9
4.85,85.1,41.1,71.8,Male,Bachelors,65.2
5.27,74.3,71.6,97.1,Female,Bachelors,75.8
2.73,81.9,64.7,56.0,Female,High School,63.8
4.81,63.0,73.3,60.5,Male,Masters,63.1
4.62,89.1,68.4,77.2,Female,High School,81.1
2.21,75.8,85.5,72.5,Female,High School,60.5
5.22,71.7,66.9,74.9,Male,High School,71.3
5.62,90.6,58.6,76.8,Male,Masters,79.7
6.67,69.5,66.8,78.9,Male,Bachelors,79.0
6.61,61.1,73.1,85.5,Female,Masters,95.1
1.74,59.3,65.7,75.7,Female,High School,62.2
2.62,85.3,65.6,66.6,Female,Bachelors,61.5
5.53,62.6,54.5,79.4,Female,Bachelors,68.6
5.53,99.1,55.1,96.6,Male,Masters,73.2
5.53,53.0,44.0,68.1,Female,Masters,60.1
12.0,98.4,91.2,56.4,Male,High School,97.6
5.64,80.5,46.3,85.5,Female,Bachelors,79.1
6.77,76.8,54.6,68.3,Male,High School,70.6
6.41,71.5,54.2,39.6,Male,Bachelors,63.4
5.8,82.8,78.4,81.9,Male,High School,79.6
3.87,77.5,60.6,62.5,Female,High School,76.8
6.02,91.2,83.7,68.7,Male,Bachelors,82.8
2.95,79.4,54.9,74.6,Male,Bachelors,76.6
4.03,79.8,69.2,72.7,Female,High School,77.4
3.53,73.6,52.5,79.9,Male,Masters,69.1
4.66,77.3,97.2,63.9,Female,Bachelors,82.0
9.13,81.7,47.2,77.2,Female,High School,84.3
0.77,57.5,69.6,66.4,Male,Masters,44.2
5.87,61.8,74.5,80.3,Male,High School,74.5
1.27,86.9,71.2,78.6,Female,Bachelors,74.0
3.56,80.1,62.2,56.9,Male,Bachelors,65.0
6.68,75.8,63.1,85.2,Female,High School,71.7
4.63,78.2,65.7,62.5,Female,High School,69.9
2.34,82.2,62.8,81.3,Female,Bachelors,79.0
3.07,71.5,79.5,75.1,Male,PhD,78.7
5.86,68.7,98.2,95.7,Female,Bachelors,88.6
3.04,80.4,56.6,66.9,Male,Bachelors,70.4
4.93,66.3,44.5,65.1,Male,Bachelors,59.8
4.59,82.9,63.7,69.7,Male,High School,62.4
3.2,57.6,100.0,65.8,Male,Bachelors,66.0
8.79,90.3,52.9,81.2,Female,Masters,95.5
5.77,83.7,89.6,47.4,Male,High School,76.7
0.45,81.1,90.2,55.2,Female,High School,63.4
4.87,89.8,56.7,55.1,Female,High School,67.8
3.18,98.0,73.5,83.3,Male,Bachelors,90.6
6.2,90.2,89.4,93.9,Female,PhD,100.0
2.91,55.9,59.3,68.5,Female,High School,72.1
4.27,62.6,61.9,67.6,Male,Bachelors,64.0
5.51,70.5,56.3,71.0,Female,High School,71.6
6.23,78.3,49.8,86.3,Female,PhD,66.8
2.1,84.2,55.3,57.0,Female,High School,69.2
3.83,69.3,46.6,73.3,Female,Bachelors,55.4
3.55,80.2,65.5,83.7,Male,Masters,74.3
3.19,68.9,53.5,77.0,Female,Masters,56.9
8.03,70.7,68.5,72.7,Female,Bachelors,77.5
5.31,,,,Female,High School,60.5
1.98,66.9,70.0,32.2,Female,Bachelors,49.7
6.34,61.8,77.5,79.5,Male,High School,74.9
8.74,66.3,35.1,60.8,Female,High School,65.5
6.56,90.6,70.6,44.4,Male,Bachelors,81.0
1.46,66.6,83.4,77.2,Female,High School,60.4
3.53,100.0,46.9,89.2,Male,High School,75.6
7.03,83.9,90.1,68.1,Male,Bachelors,94.5
3.08,80.2,71.3,83.3,Male,PhD,70.2
5.39,67.7,54.4,92.6,Male,Bachelors,69.2
6.05,86.4,64.2,88.4,Male,High School,81.1
2.65,71.1,73.4,93.0,Female,High School,79.6
4.38,79.5,66.1,80.4,Female,PhD,75.6
0.0,100.0,73.1,71.1,Female,High School,64.5
2.45,76.8,51.2,47.6,Male,High School,58.5
3.99,91.8,67.5,66.6,Female,Bachelors,67.2
2.0,69.6,43.8,58.2,Male,Bachelors,56.9
7.76,77.6,63.3,100.0,Male,Bachelors,89.9
1.64,99.2,51.4,67.5,Female,High School,62.9
3.62,70.5,54.0,71.7,Female,High School,59.0
4.76,99.7,83.5,77.7,Male,PhD,80.4
7.38,86.5,81.4,70.6,Male,High School,90.2
1.63,71.3,74.1,93.7,Female,Bachelors,77.6
6.83,85.6,48.6,61.3,Female,Masters,69.2
4.52,89.7,60.3,72.7,Female,Bachelors,76.8
2.54,85.5,83.2,59.6,Female,High School,58.4
5.42,59.2,67.1,51.5,Male,High School,61.3
4.9,69.3,99.8,61.4,Female,Bachelors,78.2
3.3,75.0,70.9,69.5,Female,Masters,63.4
4.64,77.1,67.9,64.0,Female,PhD,65.3
3.73,85.4,60.4,60.3,Male,High School,63.5
4.73,80.1,67.0,50.3,Male,High School,70.1
5.82,62.0,62.7,68.8,Male,PhD,68.6
7.67,82.6,75.6,48.9,Male,Masters,66.1
2.02,85.3,79.4,80.6,Female,Masters,60.8
8.77,84.7,53.2,71.2,Male,High School,78.4
0.6,91.0,45.0,49.6,Female,Bachelors,55.8
4.2,88.0,37.5,65.7,Female,Masters,47.6
5.68,83.5,72.6,59.5,Female,Bachelors,72.9
5.06,77.2,48.4,74.5,Female,Bachelors,65.8
3.25,58.1,32.7,88.8,Male,High School,65.7
4.08,83.2,70.8,43.7,Male,Bachelors,64.6
3.51,80.5,100.0,71.6,Male,High School,82.6
3.32,81.3,64.9,67.8,Female,Bachelors,69.3
6.2,62.7,77.6,79.4,Female,PhD,65.2
5.21,65.0,66.2,73.0,Female,Bachelors,75.5
3.11,90.6,63.5,59.5,Female,Masters,69.3
6.3,77.5,78.8,65.5,Female,High School,82.4
5.11,86.2,60.6,58.9,Male,Bachelors,94.9
6.13,78.3,69.0,85.1,Female,PhD,68.6
5.76,78.4,69.8,70.3,Male,High School,86.9
2.84,89.3,55.0,96.6,Female,High School,71.9
3.38,71.8,79.9,69.2,Female,Bachelors,72.5
5.99,79.2,62.4,60.1,Male,High School,72.4
5.72,72.5,53.7,48.8,Male,Masters,62.1
4.46,,,,Female,Masters,62.5
4.73,,51.5,47.8,Female,Bachelors,63.4
7.06,80.7,65.4,73.7,Female,High School,71.3
3.32,72.3,64.9,77.1,Female,Bachelors,72.8
5.59,93.1,81.3,47.9,Male,Masters,75.6
4.1,67.3,72.1,82.5,Female,High School,65.8
4.06,,,,Male,Bachelors,65.1
6.7,72.7,77.3,72.1,Female,Bachelors,87.9
6.15,95.4,85.9,92.6,Male,Bachelors,89.6
6.13,80.4,73.4,82.6,Male,High School,84.5
7.11,90.4,65.2,66.2,Female,Masters,76.9
4.54,60.2,45.3,57.5,Male,High School,62.1
5.86,81.2,49.0,39.9,Female,High School,67.9
3.88,88.7,60.4,59.9,Male,Masters,79.9
5.15,79.0,55.9,67.0,Female,Masters,69.0
4.24,90.8,62.2,56.2,Male,High School,74.0
4.69,71.8,65.8,68.2,Female,High School,70.6
5.69,94.9,72.9,71.1,Female,High School,89.9
2.86,,63.9,66.9,Male,High School,67.6
8.68,73.6,72.3,60.9,Male,High School,86.3
2.49,72.7,66.0,72.4,Male,High School,64.0
2.07,95.4,35.4,76.2,Male,Bachelors,61.8
6.82,97.0,50.9,54.7,Female,Masters,75.7
6.08,71.7,62.8,89.8,Male,Bachelors,79.9
5.75,73.0,46.9,68.6,Female,Bachelors,67.0
5.76,74.6,74.0,70.3,Male,High School,78.1
4.48,61.9,88.0,79.9,Female,PhD,85.7
2.71,67.0,83.3,73.3,Female,Masters,75.5
4.65,66.0,61.8,83.3,Female,Masters,76.1
3.15,68.8,87.4,74.0,Female,Masters,70.0
6.45,77.6,67.2,61.4,Male,PhD,70.0
4.21,80.8,59.9,75.1,Male,Bachelors,76.9
2.85,96.6,55.8,54.0,Female,High School,70.5
3.86,66.0,60.5,71.5,Male,Bachelors,74.1
5.33,89.8,59.2,69.5,Male,Masters,71.6
3.37,75.4,67.6,67.1,Female,Masters,66.2
2.86,,,,Male,Bachelors,57.1
4.99,86.1,65.0,43.7,Male,High School,66.1
4.99,64.5,71.6,62.3,Male,Bachelors,75.1
3.49,82.6,82.9,71.3,Female,PhD,72.8
3.56,80.0,79.2,72.2,Male,Bachelors,78.0
4.96,83.9,42.7,55.6,Female,Bachelors,63.0
1.6,81.5,26.7,87.7,Male,High School,59.2
1.69,100.0,79.0,57.9,Male,Bachelors,64.0
3.06,70.3,44.5,83.6,Male,Masters,63.0
4.07,71.6,61.6,76.0,Female,Bachelors,51.0
5.12,70.5,47.4,61.0,Female,Masters,62.4
7.45,71.3,38.0,94.9,Male,Bachelors,66.2
6.22,70.4,73.1,53.3,Female,Bachelors,79.6
4.18,92.3,76.4,82.9,Male,High School,85.8
4.46,95.0,56.4,84.0,Female,Masters,79.8
2.49,71.2,26.1,60.6,Female,Bachelors,59.0
4.46,68.0,56.8,89.5,Male,Bachelors,65.3
3.92,83.7,70.9,66.5,Male,Bachelors,82.8
5.15,71.4,42.8,74.0,Male,PhD,71.3
2.85,85.6,67.8,73.6,Male,High School,69.3
5.54,80.4,64.8,68.1,Female,Masters,81.3
7.57,59.8,73.7,81.4,Female,High School,73.7
4.28,96.6,66.8,81.1,Female,Bachelors,74.4
5.3,99.6,50.4,45.5,Male,High School,65.6
5.88,70.6,82.9,88.3,Male,High School,80.0
3.7,73.3,62.6,46.7,Female,Bachelors,55.0
4.95,81.4,64.6,84.5,Male,High School,84.5
4.53,82.0,51.0,85.8,Female,Bachelors,70.8
4.7,85.9,58.4,54.7,Female,PhD,70.5
2.95,100.0,51.7,64.2,Female,High School,64.4
4.55,75.9,62.4,54.5,Female,Masters,55.4
5.5,68.4,90.7,67.0,Female,Bachelors,80.1
7.4,61.4,44.4,65.7,Male,Bachelors,56.2
6.42,69.2,40.8,80.9,Male,High School,69.4
8.81,77.6,87.1,88.3,Male,High School,86.4
2.97,99.5,61.9,89.5,Female,High School,89.0
6.24,71.8,55.0,62.1,Female,High School,75.1
4.87,80.7,80.6,67.1,Female,High School,77.8
8.88,77.8,55.9,46.4,Female,Bachelors,82.6
2.88,92.3,92.4,58.7,Male,Masters,71.2
2.82,100.0,75.2,83.5,Male,Masters,82.6
3.3,71.6,57.7,92.6,Female,Bachelors,71.0
0.25,72.1,97.4,52.7,Female,High School,64.9
3.45,90.5,55.9,61.7,Female,High School,74.8
2.98,86.2,76.1,69.6,Male,High School,77.1
4.8,100.0,69.5,73.9,Male,High School,82.5
5.18,85.0,84.5,58.7,Male,Bachelors,68.4
8.25,73.7,88.4,75.9,Female,Bachelors,83.5
6.4,85.1,65.5,63.4,Female,Bachelors,76.5
3.35,91.3,53.7,69.8,Male,Bachelors,69.1
2.7,87.8,71.9,77.6,Female,Masters,66.4
5.48,84.1,54.8,70.1,Male,Masters,87.3
1.86,90.8,95.2,63.9,Female,High School,84.3
8.16,92.0,67.0,68.5,Male,Masters,89.5
6.86,94.6,59.5,68.8,Female,PhD,81.2
3.56,85.8,67.8,64.8,Male,High School,69.3
1.07,76.0,44.8,66.4,Male,Bachelors,48.6
7.21,79.8,50.4,92.4,Male,Bachelors,81.2
4.27,92.5,83.0,77.9,Male,PhD,83.8
6.98,68.2,55.1,65.9,Male,Masters,64.2
1.31,82.4,49.3,79.8,Male,High School,63.5
3.3,73.3,73.0,65.3,Female,Bachelors,67.1
4.51,78.3,82.8,86.4,Female,Bachelors,69.6
4.59,93.3,75.8,75.2,Female,Bachelors,75.4
3.6,80.3,79.9,68.5,Male,High School,71.2
5.75,78.6,53.6,76.3,Male,Masters,84.6
2.36,61.7,43.7,48.0,Female,Bachelors,52.3
4.22,87.0,87.5,54.2,Male,Masters,67.9
4.74,85.7,60.2,53.3,Male,Masters,71.6
5.53,100.0,61.2,72.0,Male,Masters,70.6
5.92,74.3,84.9,94.3,Male,Bachelors,92.9
2.25,80.6,73.3,100.0,Male,Bachelors,73.1
1.43,81.0,71.8,78.9,Female,High School,67.4
7.06,96.9,97.5,77.0,Female,Bachelors,100.0
5.16,76.9,55.3,44.8,Female,High School,56.1
3.0,81.3,78.9,62.4,Female,Bachelors,62.1
7.6,85.3,65.9,59.0,Female,High School,76.2
4.73,80.2,69.0,61.3,Male,High School,78.0
6.86,72.6,87.9,67.6,Male,High School,73.7
4.64,80.3,72.6,63.4,Male,High School,56.1
8.62,90.9,73.1,42.3,Male,Masters,79.4
8.01,65.7,81.1,80.5,Female,Masters,88.6
4.0,79.6,59.5,55.0,Female,Bachelors,72.3
6.44,69.6,52.4,73.3,Female,High School,68.8
5.79,92.3,49.3,99.0,Male,High School,79.2
7.24,59.7,35.5,57.1,Female,High School,68.8
2.57,71.3,95.8,34.6,Male,High School,53.3
5.87,82.5,48.5,66.0,Female,Masters,68.3
6.62,96.8,61.7,85.4,Female,High School,86.6
0.98,77.2,60.8,97.4,Male,Bachelors,69.7
2.13,71.3,69.6,52.8,Male,High School,57.0
0.42,100.0,77.2,77.0,Female,High School,71.8
3.96,60.6,77.9,63.5,Female,Bachelors,52.4
5.94,51.6,56.3,68.5,Male,Bachelors,61.1
7.5,83.3,62.5,100.0,Female,High School,90.8
4.65,72.0,69.2,49.0,Female,High School,60.3
7.76,65.7,61.3,73.6,Male,Bachelors,77.3
1.74,86.5,89.1,76.5,Female,High School,77.6
1.09,80.9,72.4,85.2,Male,High School,66.7
4.39,71.2,76.0,71.4,Female,PhD,73.9
5.27,62.6,74.9,74.3,Male,Bachelors,67.6
4.43,88.5,82.6,64.5,Female,Bachelors,76.9
0.37,85.8,67.7,73.8,Male,Bachelors,67.5
4.32,76.8,45.5,65.2,Female,Bachelors,64.5
1.89,100.0,71.0,78.7,Male,Bachelors,70.7
5.84,65.2,55.2,64.8,Female,Bachelors,68.7
5.23,59.7,57.1,75.3,Female,Masters,71.6
2.62,69.7,73.8,69.6,Female,High School,54.1
3.47,77.5,83.6,85.8,Female,Bachelors,84.9
2.38,80.9,65.3,69.3,Female,Bachelors,64.2
4.37,75.1,69.6,45.2,Female,Masters,68.0
6.41,82.2,90.5,87.7,Female,Bachelors,97.2
2.53,63.0,68.6,57.3,Female,Bachelors,51.4
5.51,95.3,100.0,60.8,Female,High School,83.1
3.44,77.0,73.5,61.7,Male,Bachelors,66.9
2.91,91.4,38.6,89.2,Male,High School,62.9
4.29,82.1,76.3,40.1,Female,High School,78.3
2.43,83.5,70.7,100.0,Male,High School,71.3
3.39,84.8,84.3,84.8,Female,Bachelors,76.4
2.1,83.4,75.1,73.1,Female,High School,71.3
8.43,85.7,62.9,69.2,Male,Bachelors,76.6
4.57,93.9,46.6,74.0,Female,Masters,69.2
3.1,80.4,61.9,77.3,Female,High School,71.0
4.93,86.5,52.2,79.0,Male,Bachelors,71.5
4.28,76.9,56.3,77.8,Male,Bachelors,69.3
4.06,95.3,73.8,71.3,Female,High School,74.8
5.73,69.9,90.0,67.2,Male,Masters,70.3
6.02,99.6,70.9,67.9,Male,High School,84.9
3.44,77.5,47.1,67.3,Female,Bachelors,72.8
3.35,60.8,71.7,85.9,Male,Bachelors,69.5
3.95,79.5,82.9,78.3,Male,Bachelors,79.1
0.0,69.8,55.9,28.8,Female,Bachelors,47.7
1.47,88.1,63.0,79.2,Male,High School,59.9
7.23,70.2,65.2,72.7,Male,High School,87.9
7.79,72.6,53.2,69.7,Female,Masters,76.8
4.0,55.3,74.7,64.6,Female,Bachelors,75.0
5.65,72.6,63.2,85.7,Female,Masters,72.1
5.12,48.9,71.3,83.3,Male,Masters,81.2
10.66,59.0,51.7,59.2,Female,Masters,81.3
6.74,,,,Female,Bachelors,83.0
4.24,87.4,75.8,56.4,Male,High School,74.6
2.59,83.1,59.4,50.7,Female,Masters,59.5
1.29,66.4,90.9,61.2,Female,Bachelors,72.0
4.91,77.4,59.0,82.1,Female,High School,74.5
2.99,78.0,68.4,83.3,Female,Masters,59.7
1.66,,,,Male,Masters,58.9
3.21,96.0,43.7,80.2,Female,Bachelors,67.9
2.34,88.5,38.6,77.2,Female,High School,64.1
7.87,75.3,42.1,61.0,Male,Bachelors,70.7
6.26,78.3,83.9,76.0,Female,Masters,91.0
4.48,80.5,56.7,81.2,Male,Masters,60.7
7.46,53.5,100.0,80.6,Male,High School,86.9
4.65,75.0,56.5,86.6,Male,High School,61.8
2.78,69.8,67.8,79.9,Female,Masters,72.2
7.55,66.0,88.1,74.9,Male,Bachelors,84.2
5.58,74.6,95.1,85.0,Male,Bachelors,88.8
2.43,99.6,95.9,69.6,Male,PhD,75.7
4.12,85.7,83.1,57.7,Female,High School,82.6
2.75,71.1,80.4,67.7,Female,Bachelors,74.9
1.73,84.9,73.9,59.6,Female,High School,69.2
